# kgrid total_energy_eV
1.000000000000000000e+01 -4.876587918171292131e+02
2.000000000000000000e+01 -4.999395255504705347e+02
3.000000000000000000e+01 -5.016601020325747982e+02
4.000000000000000000e+01 -5.018584474422539756e+02
5.000000000000000000e+01 -5.018685930706712384e+02
6.000000000000000000e+01 -5.018738473167818483e+02
7.000000000000000000e+01 -5.018783799169923441e+02
8.000000000000000000e+01 -5.018802622644712415e+02
9.000000000000000000e+01 -5.018807005038084412e+02
