    0.000000000    0.004568462    0.045775629
    0.044125103    0.004216290    0.042562420
    0.088250205    0.003883435    0.039546477
    0.132375308    0.003567859    0.036719377
    0.176500411    0.003274128    0.034072553
    0.220625513    0.003008589    0.031597401
    0.264750616    0.002773358    0.029285383
    0.308875719    0.002563488    0.027128099
    0.353000821    0.002369396    0.025117308
    0.397125924    0.002182763    0.023244922
    0.441251027    0.002001614    0.021503001
    0.485376129    0.001830846    0.019883785
    0.529501232    0.001677809    0.018379765
    0.573626335    0.001546157    0.016983744
    0.617751437    0.001432441    0.015688878
    0.661876540    0.001327951    0.014488665
    0.706001643    0.001224449    0.013376898
    0.750126745    0.001119625    0.012347632
    0.794251848    0.001018273    0.011395177
    0.838376951    0.000928326    0.010514136
    0.882502053    0.000854621    0.009699447
    0.926627156    0.000794953    0.008946407
    0.970752259    0.000741290    0.008250641
    1.014877361    0.000685287    0.007608048
    1.059002464    0.000624057    0.007014742
    1.103127567    0.000561998    0.006467039
    1.147252669    0.000507325    0.005961475
    1.191377772    0.000465821    0.005494847
    1.235502875    0.000436372    0.005064234
    1.279627977    0.000411553    0.004666968
    1.323753080    0.000382836    0.004300576
    1.367878183    0.000346639    0.003962723
    1.412003285    0.000306786    0.003651187
    1.456128388    0.000271575    0.003363876
    1.500253491    0.000247587    0.003098878
    1.544378593    0.000234737    0.002854475
    1.588503696    0.000226203    0.002629132
    1.632628799    0.000213281    0.002421440
    1.676753901    0.000191642    0.002230058
    1.720879004    0.000164411    0.002053689
    1.765004107    0.000139817    0.001891096
    1.809129209    0.000125115    0.001741154
    1.853254312    0.000121206    0.001602876
    1.897379415    0.000121895    0.001475406
    1.941504517    0.000118335    0.001357971
    1.985629620    0.000105429    0.001249821
    2.029754723    0.000085512    0.001150205
    2.073879825    0.000066614    0.001058389
    2.118004928    0.000056564    0.000973706
    2.162130031    0.000057224    0.000895589
    2.206255133    0.000063072    0.000823577
    2.250380236    0.000065184    0.000757262
    2.294505339    0.000057711    0.000696239
    2.338630441    0.000042135    0.000640075
    2.382755544    0.000026180    0.000588324
    2.426880647    0.000018160    0.000540577
    2.471005749    0.000020881    0.000496506
    2.515130852    0.000029551    0.000455870
    2.559255955    0.000035243    0.000418472
    2.603381057    0.000031387    0.000384102
    2.647506160    0.000018564    0.000352511
    2.691631263    0.000004089    0.000323416
    2.735756365   -0.000003330    0.000296554
    2.779881468    0.000000036    0.000271729
    2.824006571    0.000010179    0.000248820
    2.868131673    0.000018252    0.000227750
    2.912256776    0.000017009    0.000208426
    2.956381879    0.000006095    0.000190704
    3.000506981   -0.000007675    0.000174395
    3.044632084   -0.000015289    0.000159318
