# kgrid total_energy_eV
2.000000000000000000e+00 -9.995609444452189791e+02
4.000000000000000000e+00 -1.003808992629542331e+03
6.000000000000000000e+00 -1.003667523093849695e+03
8.000000000000000000e+00 -1.003747048771367645e+03
1.000000000000000000e+01 -1.003753645082930461e+03
1.200000000000000000e+01 -1.003739653805688476e+03
1.400000000000000000e+01 -1.003747672184171961e+03
1.600000000000000000e+01 -1.003747657626081605e+03
